date,num_adbit
2024-04-01,8913
2024-04-02,8901
2024-04-03,8899
2024-04-04,8888
2024-04-05,8910
2024-04-06,8920
2024-04-07,8836
2024-04-08,8836
2024-04-09,8826
2024-04-10,8809
2024-04-11,8799
2024-04-12,8806
2024-04-13,8886
2024-04-14,8883
2024-04-15,8858
2024-04-16,8858
2024-04-17,8858
2024-04-18,8858
2024-04-19,8858
2024-04-20,8858
2024-04-21,8858
2024-04-22,8653
2024-04-23,8637
2024-04-24,8620
2024-04-25,8603
2024-04-26,8592
2024-04-27,8582
2024-04-28,8565
2024-04-29,8549
2024-04-30,8494
2024-05-01,8929
2024-05-02,8955
2024-05-03,8968
2024-05-04,8929
2024-05-05,8863
2024-05-06,8872
2024-05-07,8869
2024-05-08,8875
2024-05-09,8883
2024-05-10,8903
2024-05-11,8922
2024-05-12,8907
2024-05-13,8909
2024-05-14,8912
2024-05-15,8916
2024-05-16,8912
2024-05-17,8920
2024-05-18,9001
2024-05-19,9049
2024-05-20,9059
2024-05-21,9047
2024-05-22,9066
2024-05-23,9065
2024-05-24,9072
2024-05-25,9065
2024-05-26,9073
2024-05-27,9090
2024-05-28,9072
2024-05-29,9078
2024-05-30,9069
2024-05-31,9084
2024-06-01,9095
2024-06-02,9108
2024-06-03,9105
2024-06-04,9102
2024-06-05,9093
2024-06-06,9072
2024-06-07,9089
2024-06-08,9094
2024-06-09,9002
2024-06-10,8976
2024-06-11,9004
2024-06-12,9008
2024-06-13,9021
2024-06-14,9019
2024-06-15,9028
2024-06-16,9137
2024-06-17,9139
2024-06-18,9140
2024-06-19,9164
2024-06-20,9204
2024-06-21,9207
2024-06-22,9220
2024-06-23,9237
2024-06-24,9237
2024-06-25,9250
2024-06-26,9258
2024-06-27,9265
2024-06-28,9276
2024-06-29,9288
2024-06-30,9281
2024-07-01,9278
2024-07-02,9264
2024-07-03,9265
2024-07-04,9273
2024-07-05,9253
2024-07-06,9204
2024-07-07,9163
2024-07-08,9173
2024-07-09,9187
2024-07-10,9211
2024-07-11,9211
2024-07-12,9225
2024-07-13,9234
2024-07-14,9255
2024-07-15,9356
2024-07-16,9379
2024-07-17,9383
2024-07-18,9402
2024-07-19,9407
2024-07-20,9451
2024-07-21,9445
2024-07-22,9450
2024-07-23,9462
2024-07-24,9479
2024-07-25,9496
2024-07-26,9509
2024-07-27,9539
2024-07-28,9483
2024-07-29,9491
2024-07-30,9487
2024-07-31,9497
2024-08-01,9495
2024-08-02,9511
2024-08-03,9435
2024-08-04,9432
2024-08-05,9424
2024-08-06,9443
2024-08-07,9448
2024-08-08,9463
2024-08-09,9461
2024-08-10,9476
2024-08-11,9478
2024-08-12,9494
2024-08-13,9502
2024-08-14,9508
2024-08-15,9520
2024-08-16,9522
2024-08-17,9534
2024-08-18,9553
2024-08-19,9645
2024-08-20,9715
2024-08-21,9725
2024-08-22,9750
2024-08-23,9779
2024-08-24,9793
2024-08-25,9863
2024-08-26,9884
2024-08-27,9893
2024-08-28,9916
2024-08-29,9902
2024-08-30,9906
2024-08-31,9911
2024-09-01,9881
2024-09-02,9888
2024-09-03,9872
2024-09-04,9762
2024-09-05,9771
2024-09-06,9719
2024-09-07,9668
2024-09-08,9668
2024-09-09,9665
2024-09-10,9684
2024-09-11,9692
2024-09-12,9718
2024-09-13,9730
2024-09-14,9752
2024-09-15,9758
2024-09-16,9830
2024-09-17,9917
2024-09-18,9921
2024-09-19,9929
2024-09-20,9945
2024-09-21,9958
2024-09-22,9986
2024-09-23,10000
2024-09-24,10014
2024-09-25,10014
2024-09-26,10016
2024-09-27,10014
2024-09-28,10019
2024-09-29,10004
2024-09-30,10000
2024-10-01,9991
2024-10-02,9983
2024-10-03,9985
2024-10-04,9917
2024-10-05,9896
2024-10-06,9892
2024-10-07,9898
2024-10-08,9913
2024-10-09,9927
2024-10-10,9923
2024-10-11,9923
2024-10-12,9932
2024-10-13,9949
2024-10-14,9980
2024-10-15,10079
2024-10-16,10091
2024-10-17,10101
2024-10-18,10102
2024-10-19,10105
2024-10-20,10150
2024-10-21,10182
