date,num_adbit
2024-04-01,18460
2024-04-02,18443
2024-04-03,18453
2024-04-04,18422
2024-04-05,18417
2024-04-06,18415
2024-04-07,18229
2024-04-08,18207
2024-04-09,18188
2024-04-10,18150
2024-04-11,18136
2024-04-12,18137
2024-04-13,18335
2024-04-14,18330
2024-04-15,18308
2024-04-16,17734
2024-04-17,18002
2024-04-18,17979
2024-04-19,17945
2024-04-20,17897
2024-04-21,17845
2024-04-22,17775
2024-04-23,18298
2024-04-24,18304
2024-04-25,18273
2024-04-26,18306
2024-04-27,18313
2024-04-28,18306
2024-04-29,18300
2024-04-30,18282
2024-05-01,18312
2024-05-02,18342
2024-05-03,18356
2024-05-04,18287
2024-05-05,18155
2024-05-06,18191
2024-05-07,18171
2024-05-08,18163
2024-05-09,18163
2024-05-10,18190
2024-05-11,18211
2024-05-12,18198
2024-05-13,18198
2024-05-14,18199
2024-05-15,18197
2024-05-16,18191
2024-05-17,18197
2024-05-18,18329
2024-05-19,18413
2024-05-20,18442
2024-05-21,18413
2024-05-22,18437
2024-05-23,18452
2024-05-24,18467
2024-05-25,18452
2024-05-26,18461
2024-05-27,18469
2024-05-28,18448
2024-05-29,18442
2024-05-30,18445
2024-05-31,18452
2024-06-01,18464
2024-06-02,18475
2024-06-03,18483
2024-06-04,18489
2024-06-05,18476
2024-06-06,18464
2024-06-07,18499
2024-06-08,18518
2024-06-09,18386
2024-06-10,18352
2024-06-11,18392
2024-06-12,18395
2024-06-13,18431
2024-06-14,18455
2024-06-15,18463
2024-06-16,18650
2024-06-17,18664
2024-06-18,18672
2024-06-19,18712
2024-06-20,18753
2024-06-21,18803
2024-06-22,18823
2024-06-23,18839
2024-06-24,18843
2024-06-25,18841
2024-06-26,18836
2024-06-27,18815
2024-06-28,18861
2024-06-29,18860
2024-06-30,18864
2024-07-01,18864
2024-07-02,18848
2024-07-03,18898
2024-07-04,18916
2024-07-05,18902
2024-07-06,18808
2024-07-07,18736
2024-07-08,18764
2024-07-09,18796
2024-07-10,18804
2024-07-11,18800
2024-07-12,18829
