date,num_adbit,num_httpsrr,adbit_perc
2024-04-01,18460,272163,6.782700073117945
2024-04-02,18443,272999,6.7557024018402965
2024-04-03,18453,273042,6.758300920737466
2024-04-04,18422,274767,6.704589706915311
2024-04-05,18417,276481,6.661217226500191
2024-04-06,18415,276021,6.671593828005837
2024-04-07,18229,280382,6.501487256671253
2024-04-08,18207,277537,6.560206386896159
2024-04-09,18188,277607,6.551707990072294
2024-04-10,18150,278564,6.515558363607642
2024-04-11,18136,276305,6.563761061146194
2024-04-12,18137,275094,6.593019113466667
2024-04-13,18335,271889,6.74356079135235
2024-04-14,18330,272198,6.734068582428964
2024-04-15,18308,272468,6.719321167990366
2024-04-16,17734,272468,6.508654227285403
2024-04-17,18002,272468,6.607014401691205
2024-04-18,17979,272468,6.598573043439961
2024-04-19,17945,272468,6.586094513851165
2024-04-20,17897,272468,6.568477766196395
2024-04-21,17845,272468,6.54939295623706
2024-04-22,17775,261707,6.791946719040757
2024-04-23,18298,271465,6.740463779861121
2024-04-24,18304,270832,6.758433272286876
2024-04-25,18273,270725,6.749653707636898
2024-04-26,18306,270914,6.757125877584766
2024-04-27,18313,271119,6.754598534222977
2024-04-28,18306,271152,6.75119490175252
2024-04-29,18300,271017,6.7523439489035715
2024-04-30,18282,270591,6.756322272359388
2024-05-01,18312,270623,6.766608898726269
2024-05-02,18342,269895,6.795976212971708
2024-05-03,18356,267947,6.850608515863208
2024-05-04,18287,269575,6.7836409162570686
2024-05-05,18155,273702,6.6331265390826495
2024-05-06,18191,272906,6.665665100803937
2024-05-07,18171,272290,6.673399684160268
2024-05-08,18163,271669,6.685709447894309
2024-05-09,18163,270908,6.704490085194971
2024-05-10,18190,270337,6.728638699105188
2024-05-11,18211,270265,6.738201394927199
2024-05-12,18198,270358,6.731075093024801
2024-05-13,18198,270296,6.732619054665993
2024-05-14,18199,269476,6.75347711855601
2024-05-15,18197,269357,6.755718247530226
2024-05-16,18191,269232,6.756626255422829
2024-05-17,18197,268955,6.765815842798978
2024-05-18,18329,265435,6.905268709853633
2024-05-19,18413,263175,6.996485228460147
2024-05-20,18442,263221,7.006279894081397
2024-05-21,18413,262655,7.010336753536004
2024-05-22,18437,261525,7.049804034031161
2024-05-23,18452,261273,7.06234475051
2024-05-24,18467,260727,7.082887464666104
2024-05-25,18452,260602,7.080528929171685
2024-05-26,18461,260023,7.099756559996614
2024-05-27,18469,259752,7.11024361698851
2024-05-28,18448,259740,7.1024871024871
2024-05-29,18442,259605,7.103869339958782
2024-05-30,18445,259657,7.103602059640215
2024-05-31,18452,259639,7.106790582308511
2024-06-01,18464,259384,7.118403602381023
2024-06-02,18475,259100,7.130451563103047
2024-06-03,18483,258978,7.1368996594305285
2024-06-04,18489,259135,7.134891079939026
2024-06-05,18476,259042,7.132434122651922
2024-06-06,18464,258335,7.1473087270404685
2024-06-07,18499,257110,7.194974913461162
2024-06-08,18518,257248,7.198501057345439
2024-06-09,18386,259644,7.081234305433592
2024-06-10,18352,259683,7.067077937331282
2024-06-11,18392,259043,7.0999795400763555
2024-06-12,18395,258720,7.110003092145947
2024-06-13,18431,258668,7.125349869330568
2024-06-14,18455,258686,7.134131727267805
2024-06-15,18463,258557,7.140785204036245
2024-06-16,18650,253769,7.349203409399885
2024-06-17,18664,253622,7.358983053520591
2024-06-18,18672,253361,7.369721464629518
2024-06-19,18712,252689,7.405150204401456
2024-06-20,18753,252108,7.438478747203577
2024-06-21,18803,251425,7.478572138808787
2024-06-22,18823,251313,7.48986323827259
2024-06-23,18839,251086,7.503006937861925
2024-06-24,18843,250955,7.508517463290229
2024-06-25,18841,250916,7.508887436432907
2024-06-26,18836,250909,7.507104169240638
2024-06-27,18815,250882,7.499541617174605
2024-06-28,18861,251037,7.513235100801872
2024-06-29,18860,251024,7.513225827012554
2024-06-30,18864,251244,7.50823900272245
2024-07-01,18864,251312,7.506207423441775
2024-07-02,18848,250570,7.522049726623297
2024-07-03,18898,250284,7.550622492848122
2024-07-04,18916,250017,7.565885519784652
2024-07-05,18902,249521,7.575314302203019
2024-07-06,18808,252190,7.457869066973311
2024-07-07,18736,254844,7.351948643091458
2024-07-08,18764,254296,7.378802655173496
2024-07-09,18796,253724,7.408049691791078
2024-07-10,18804,253652,7.4133064198192775
2024-07-11,18800,253958,7.4027988880051
2024-07-12,18829,254132,7.409141705885128
2024-07-13,18857,254055,7.422408533585244
2024-07-14,18899,253218,7.463529448933327
2024-07-15,19102,248286,7.693546957943659
2024-07-16,19127,248248,7.704795204795202
2024-07-17,19150,248064,7.719781991744063
2024-07-18,19187,247786,7.743375331939655
2024-07-19,19167,247429,7.746464642382256
2024-07-20,19179,246602,7.777309186462394
2024-07-21,19170,246548,7.775362201275206
2024-07-22,19182,246573,7.779440571352092
2024-07-23,19186,246825,7.773118606300008
2024-07-24,19212,246805,7.784283138510157
2024-07-25,19237,246735,7.796623908241633
2024-07-26,19241,245786,7.828354747625981
2024-07-27,19253,245522,7.841659810526141
2024-07-28,19224,246111,7.811109621268449
2024-07-29,19232,246576,7.799623645448054
2024-07-30,19223,246608,7.794962045026923
2024-07-31,19244,246625,7.8029396857577265
2024-08-01,19221,247518,7.765495842726587
