date,num_httpsrr
2024-04-01,265864
2024-04-02,266670
2024-04-03,266755
2024-04-04,268518
2024-04-05,270300
2024-04-06,269827
2024-04-07,274653
2024-04-08,272981
2024-04-09,271921
2024-04-10,272913
2024-04-11,270736
2024-04-12,269459
2024-04-13,265673
2024-04-14,266018
2024-04-15,266289
2024-04-16,266289
2024-04-17,266289
2024-04-18,266289
2024-04-19,266289
2024-04-20,266289
2024-04-21,266289
2024-04-22,265175
2024-04-23,265543
2024-04-24,264937
2024-04-25,264780
2024-04-26,265081
2024-04-27,265386
2024-04-28,265406
2024-04-29,265321
2024-04-30,264954
2024-05-01,264909
2024-05-02,264226
2024-05-03,262300
2024-05-04,264081
2024-05-05,269006
2024-05-06,268068
2024-05-07,267560
2024-05-08,267003
2024-05-09,266271
2024-05-10,265733
2024-05-11,265503
2024-05-12,265492
2024-05-13,265437
2024-05-14,264591
2024-05-15,264473
2024-05-16,264432
2024-05-17,264228
2024-05-18,260167
2024-05-19,257631
2024-05-20,257615
2024-05-21,257455
2024-05-22,256020
2024-05-23,254600
2024-05-24,255574
2024-05-25,255496
2024-05-26,255007
2024-05-27,254776
2024-05-28,254756
2024-05-29,254662
2024-05-30,254691
2024-05-31,254598
2024-06-01,254242
2024-06-02,253909
2024-06-03,253759
2024-06-04,253966
2024-06-05,253989
2024-06-06,253443
2024-06-07,252097
2024-06-08,252246
2024-06-09,255183
2024-06-10,255355
2024-06-11,254598
2024-06-12,254300
2024-06-13,254125
2024-06-14,254060
2024-06-15,253905
2024-06-16,248288
2024-06-17,248526
2024-06-18,247765
2024-06-19,247061
2024-06-20,246210
2024-06-21,245516
2024-06-22,245340
2024-06-23,245138
2024-06-24,244942
2024-06-25,245032
2024-06-26,244987
2024-06-27,245007
2024-06-28,245075
2024-06-29,245091
2024-06-30,245337
2024-07-01,245360
2024-07-02,244784
2024-07-03,244433
2024-07-04,244039
2024-07-05,243467
2024-07-06,246506
2024-07-07,249524
2024-07-08,248910
2024-07-09,248218
2024-07-10,248250
2024-07-11,248509
2024-07-12,248638
2024-07-13,248536
2024-07-14,247540
2024-07-15,241971
2024-07-16,241935
2024-07-17,241741
2024-07-18,241416
2024-07-19,241126
2024-07-20,240392
2024-07-21,240380
2024-07-22,240379
2024-07-23,240695
2024-07-24,240662
2024-07-25,240563
2024-07-26,240147
2024-07-27,239462
2024-07-28,240157
2024-07-29,240687
2024-07-30,240748
2024-07-31,240734
2024-08-01,241728
2024-08-02,240920
2024-08-03,247084
2024-08-04,247220
2024-08-05,247306
2024-08-06,246981
2024-08-07,246762
2024-08-08,246087
2024-08-09,245800
2024-08-10,245787
2024-08-11,245970
2024-08-12,246226
2024-08-13,246208
2024-08-14,246189
2024-08-15,245810
2024-08-16,245594
2024-08-17,245610
2024-08-18,246617
2024-08-19,243504
2024-08-20,240944
2024-08-21,241350
2024-08-22,241346
2024-08-23,241482
2024-08-24,241516
2024-08-25,241134
2024-08-26,241841
2024-08-27,242398
