date,num_httpsrr
2024-04-01,272163
2024-04-02,272999
2024-04-03,273042
2024-04-04,274767
2024-04-05,276481
2024-04-06,276021
2024-04-07,280382
2024-04-08,277537
2024-04-09,277607
2024-04-10,278564
2024-04-11,276305
2024-04-12,275094
2024-04-13,271889
2024-04-14,272198
2024-04-15,272468
2024-04-16,272468
2024-04-17,272468
2024-04-18,272468
2024-04-19,272468
2024-04-20,272468
2024-04-21,272468
2024-04-22,261707
2024-04-23,271465
2024-04-24,270832
2024-04-25,270725
2024-04-26,270914
2024-04-27,271119
2024-04-28,271152
2024-04-29,271017
2024-04-30,270591
2024-05-01,270623
2024-05-02,269895
2024-05-03,267947
2024-05-04,269575
2024-05-05,273702
2024-05-06,272906
2024-05-07,272290
2024-05-08,271669
2024-05-09,270908
2024-05-10,270337
2024-05-11,270265
2024-05-12,270358
2024-05-13,270296
2024-05-14,269476
2024-05-15,269357
2024-05-16,269232
2024-05-17,268955
2024-05-18,265435
2024-05-19,263175
2024-05-20,263221
2024-05-21,262655
2024-05-22,261525
2024-05-23,261273
2024-05-24,260727
2024-05-25,260602
2024-05-26,260023
2024-05-27,259752
2024-05-28,259740
2024-05-29,259605
2024-05-30,259657
2024-05-31,259639
2024-06-01,259384
2024-06-02,259100
2024-06-03,258978
2024-06-04,259135
2024-06-05,259042
2024-06-06,258335
2024-06-07,257110
2024-06-08,257248
2024-06-09,259644
2024-06-10,259683
2024-06-11,259043
2024-06-12,258720
2024-06-13,258668
2024-06-14,258686
2024-06-15,258557
2024-06-16,253769
2024-06-17,253622
2024-06-18,253361
2024-06-19,252689
2024-06-20,252108
2024-06-21,251425
2024-06-22,251313
2024-06-23,251086
2024-06-24,250955
2024-06-25,250916
2024-06-26,250909
2024-06-27,250882
2024-06-28,251037
2024-06-29,251024
2024-06-30,251244
2024-07-01,251312
2024-07-02,250570
2024-07-03,250284
2024-07-04,250017
2024-07-05,249521
2024-07-06,252190
2024-07-07,254844
2024-07-08,254296
2024-07-09,253724
2024-07-10,253652
2024-07-11,253958
2024-07-12,254132
2024-07-13,254055
2024-07-14,253218
2024-07-15,248286
2024-07-16,248248
2024-07-17,248064
2024-07-18,247786
2024-07-19,247429
2024-07-20,246602
2024-07-21,246548
2024-07-22,246573
2024-07-23,246825
2024-07-24,246805
2024-07-25,246735
2024-07-26,245786
2024-07-27,245522
2024-07-28,246111
2024-07-29,246576
2024-07-30,246608
2024-07-31,246625
2024-08-01,247518
2024-08-02,246765
2024-08-03,252233
2024-08-04,252303
2024-08-05,252307
2024-08-06,251791
2024-08-07,251579
2024-08-08,250975
2024-08-09,250640
2024-08-10,250502
2024-08-11,250701
2024-08-12,250965
2024-08-13,251030
2024-08-14,250955
2024-08-15,250542
2024-08-16,250316
2024-08-17,250387
2024-08-18,251348
2024-08-19,248783
2024-08-20,246591
2024-08-21,246988
2024-08-22,246879
2024-08-23,247184
2024-08-24,247272
2024-08-25,246961
2024-08-26,247524
2024-08-27,248138
2024-08-28,248428
2024-08-29,248452
2024-08-30,249063
2024-08-31,249451
2024-09-01,249578
2024-09-02,250161
2024-09-03,249975
2024-09-04,247993
2024-09-05,248018
2024-09-06,251225
2024-09-07,254089
2024-09-08,254088
2024-09-09,254059
2024-09-10,253657
2024-09-11,253623
2024-09-12,254911
2024-09-13,255447
2024-09-14,255642
2024-09-15,255870
2024-09-16,253310
2024-09-17,251232
2024-09-18,250510
2024-09-19,250373
2024-09-20,250122
2024-09-21,249917
2024-09-22,250174
2024-09-23,250009
2024-09-24,250210
2024-09-25,249647
2024-09-26,249436
2024-09-27,248580
2024-09-28,248102
2024-09-29,248748
2024-09-30,248791
2024-10-01,248302
2024-10-02,248082
2024-10-03,247339
2024-10-04,249775
2024-10-05,251641
2024-10-06,251389
2024-10-07,251064
2024-10-08,250533
2024-10-09,250099
2024-10-10,250750
2024-10-11,250704
2024-10-12,250398
2024-10-13,250470
2024-10-14,248528
2024-10-15,244004
2024-10-16,243721
2024-10-17,243326
2024-10-18,243418
2024-10-19,243196
2024-10-20,242687
2024-10-21,243047
2024-10-22,243311
2024-10-23,243623
2024-10-24,242913
2024-10-25,242529
2024-10-26,242389
2024-10-27,242698
2024-10-28,242170
2024-10-29,242128
2024-10-30,243716
2024-10-31,244364
2024-11-01,249352
2024-11-02,248410
2024-11-03,248371
2024-11-04,248608
2024-11-05,248526
2024-11-06,248737
2024-11-07,248993
2024-11-08,249500
2024-11-09,249685
2024-11-10,249751
2024-11-11,250974
2024-11-12,251182
2024-11-13,250994
2024-11-14,251405
2024-11-15,251610
2024-11-16,251937
2024-11-17,251882
2024-11-18,252461
2024-11-19,248042
2024-11-20,246489
2024-11-21,246034
2024-11-22,246106
2024-11-23,246188
2024-11-24,246228
2024-11-25,245449
2024-11-26,245458
2024-11-27,245364
2024-11-28,245060
2024-11-29,243364
2024-11-30,243104
2024-12-01,242147
2024-12-02,240542
2024-12-03,240265
2024-12-04,240415
2024-12-05,240161
2024-12-06,244358
2024-12-07,244817
2024-12-08,244844
2024-12-09,243808
2024-12-10,242885
2024-12-11,242601
2024-12-12,242379
2024-12-13,242407
2024-12-14,242493
2024-12-15,242746
2024-12-16,241987
2024-12-17,236986
2024-12-18,236263
2024-12-19,235859
2024-12-20,235728
2024-12-21,235872
2024-12-22,234945
2024-12-23,235300
2024-12-24,236040
2024-12-25,236689
2024-12-26,237522
2024-12-27,238363
2024-12-28,236924
2024-12-29,237938
2024-12-30,238286
2024-12-31,239364
2025-01-01,371779
2025-01-02,373994
2025-01-03,377512
2025-01-04,377795
2025-01-05,378438
2025-01-06,380757
2025-01-07,379902
2025-01-08,380194
2025-01-09,379321
2025-01-10,379980
2025-01-11,380222
2025-01-12,379452
2025-01-13,379607
2025-01-14,379523
2025-01-15,378809
2025-01-16,378257
2025-01-17,377846
2025-01-18,377030
2025-01-19,375759
2025-01-20,375234
2025-01-21,372460
2025-01-22,367915
2025-01-23,366588
2025-01-24,365651
2025-01-25,365651
2025-01-26,365651
2025-01-27,361415
2025-01-28,363685
2025-01-29,363459
2025-01-30,362361
2025-01-31,358785
2025-02-01,357941
2025-02-02,357156
2025-02-03,357074
2025-02-04,356611
2025-02-05,357153
2025-02-06,363302
2025-02-07,361354
2025-02-08,359583
2025-02-09,359015
2025-02-10,359015
2025-02-11,359015
2025-02-12,358752
2025-02-13,359121
2025-02-14,359098
2025-02-15,359110
2025-02-16,359558
2025-02-17,360450
2025-02-18,360583
2025-02-19,353029
2025-02-20,350520
2025-02-21,350539
2025-02-22,351168
2025-02-23,351116
2025-02-24,351464
2025-02-25,352109
2025-02-26,352040
2025-02-27,0
2025-02-28,351292
2025-03-01,351226
2025-03-02,351656
2025-03-03,0
2025-03-04,352436
2025-03-05,353511
2025-03-06,360479
2025-03-07,362373
2025-03-08,359497
2025-03-09,359426
2025-03-10,359722
2025-03-11,358766
2025-03-12,358766
2025-03-13,359628
2025-03-14,0
2025-03-15,360094
2025-03-16,359939
2025-03-17,360653
2025-03-18,361025
2025-03-19,0
2025-03-20,353007
2025-03-21,352909
2025-03-22,0
2025-03-23,352981
2025-03-24,353302
2025-03-25,353632
2025-03-26,352887
2025-03-27,353267
2025-03-28,353746
2025-03-29,353498
2025-03-30,353779
2025-03-31,354402
2025-04-01,354219
2025-04-02,355795
2025-04-03,360147
2025-04-04,359934
2025-04-05,359062
2025-04-06,358931
2025-04-07,358777
2025-04-08,358015
2025-04-09,358190
2025-04-10,358433
2025-04-11,359081
2025-04-12,359075
2025-04-13,359076
2025-04-14,359131
2025-04-15,359203
2025-04-16,354726
2025-04-17,354841
2025-04-18,352895
2025-04-19,352895
2025-04-20,352895
2025-04-21,352895
2025-04-22,352210
2025-04-23,351726
2025-04-24,352414
2025-04-25,352869
2025-04-26,352961
2025-04-27,353054
2025-04-28,353613
2025-04-29,354165
2025-04-30,354180
2025-05-01,361668
2025-05-02,362170
2025-05-03,361293
2025-05-04,361372
2025-05-05,361691
2025-05-06,361256
2025-05-07,361221
2025-05-08,361207
2025-05-09,361761
2025-05-10,361976
2025-05-11,362451
2025-05-12,362645
2025-05-13,363402
2025-05-14,364051
2025-05-15,364737
2025-05-16,365482
2025-05-17,366228
2025-05-18,366891
2025-05-19,367682
2025-05-20,367819
2025-05-21,361566
2025-05-22,360522
2025-05-23,360642
2025-05-24,360924
2025-05-25,361239
2025-05-26,361969
2025-05-27,362774
2025-05-28,362435
2025-05-29,362646
2025-05-30,363766
2025-05-31,363963
2025-06-01,363123
2025-06-02,364367
2025-06-03,364372
2025-06-04,365300
2025-06-05,365434
2025-06-06,366446
2025-06-07,366534
2025-06-08,366488
2025-06-09,371954
2025-06-10,374013
2025-06-11,375635
2025-06-12,375912
2025-06-13,376138
2025-06-14,376398
2025-06-15,376800
2025-06-16,376800
2025-06-17,376800
2025-06-18,375101
2025-06-19,377173
2025-06-20,378281
2025-06-21,376520
2025-06-22,377693
2025-06-23,376342
2025-06-24,374779
2025-06-25,374691
2025-06-26,374141
2025-06-27,374521
2025-06-28,374499
2025-06-29,374776
2025-06-30,375155
2025-07-01,375248
2025-07-02,374683
2025-07-03,384210
2025-07-04,385288
2025-07-05,385728
2025-07-06,385414
2025-07-07,385326
2025-07-08,385790
2025-07-09,385887
2025-07-10,387632
2025-07-11,387460
2025-07-12,387914
2025-07-13,388621
2025-07-14,387730
2025-07-15,387730
2025-07-16,387730
2025-07-17,387730
2025-07-18,387730
2025-07-19,387730
2025-07-20,387730
2025-07-21,387730
2025-07-22,378554
2025-07-23,379255
2025-07-24,379191
2025-07-25,379403
2025-07-26,379686
2025-07-27,379625
2025-07-28,380547
2025-07-29,381793
2025-07-30,390434
