date,num_rrsig,num_httpsrr
2024-04-01,17559,265864
2024-04-02,17555,266670
2024-04-03,17554,266755
2024-04-04,17535,268518
2024-04-05,17558,270300
2024-04-06,17550,269827
2024-04-07,17394,274653
2024-04-08,17389,272981
2024-04-09,17370,271921
2024-04-10,17353,272913
2024-04-11,17331,270736
2024-04-12,17353,269459
2024-04-13,17498,265673
2024-04-14,17489,266018
2024-04-15,17462,266289
2024-04-16,17462,266289
2024-04-17,17462,266289
2024-04-18,17462,266289
2024-04-19,17462,266289
2024-04-20,17462,266289
2024-04-21,17462,266289
2024-04-22,17483,265175
2024-04-23,17487,265543
2024-04-24,17506,264937
2024-04-25,17466,264780
2024-04-26,17529,265081
2024-04-27,17549,265386
2024-04-28,17532,265406
2024-04-29,17546,265321
2024-04-30,17532,264954
2024-05-01,17560,264909
2024-05-02,17605,264226
2024-05-03,17616,262300
2024-05-04,17560,264081
2024-05-05,17417,269006
2024-05-06,17436,268068
2024-05-07,17422,267560
2024-05-08,17425,267003
2024-05-09,17445,266271
2024-05-10,17475,265733
2024-05-11,17507,265503
2024-05-12,17498,265492
2024-05-13,17477,265437
2024-05-14,17489,264591
2024-05-15,17509,264473
2024-05-16,17504,264432
2024-05-17,17538,264228
2024-05-18,17662,260167
2024-05-19,17748,257631
2024-05-20,17752,257615
2024-05-21,17740,257455
2024-05-22,17743,256020
2024-05-23,17737,254600
2024-05-24,17747,255574
2024-05-25,17747,255496
2024-05-26,17750,255007
2024-05-27,17772,254776
2024-05-28,17729,254756
2024-05-29,17766,254662
2024-05-30,17749,254691
2024-05-31,17781,254598
2024-06-01,17800,254242
2024-06-02,17820,253909
2024-06-03,17818,253759
2024-06-04,17801,253966
2024-06-05,17814,253989
2024-06-06,17827,253443
2024-06-07,17851,252097
2024-06-08,17850,252246
2024-06-09,17703,255183
2024-06-10,17650,255355
2024-06-11,17699,254598
2024-06-12,17707,254300
2024-06-13,17724,254125
2024-06-14,17715,254060
2024-06-15,17733,253905
2024-06-16,17930,248288
2024-06-17,17927,248526
2024-06-18,17948,247765
2024-06-19,17975,247061
2024-06-20,17972,246210
2024-06-21,17962,245516
2024-06-22,17985,245340
2024-06-23,18008,245138
2024-06-24,18000,244942
2024-06-25,18021,245032
2024-06-26,18035,244987
2024-06-27,18036,245007
2024-06-28,18054,245075
2024-06-29,18075,245091
2024-06-30,18088,245337
2024-07-01,18082,245360
2024-07-02,18129,244784
2024-07-03,18138,244433
2024-07-04,18152,244039
2024-07-05,18122,243467
2024-07-06,18044,246506
2024-07-07,17965,249524
2024-07-08,17978,248910
2024-07-09,17995,248218
2024-07-10,18033,248250
2024-07-11,18043,248509
2024-07-12,18081,248638
2024-07-13,18094,248536
2024-07-14,18145,247540
2024-07-15,18295,241971
2024-07-16,18354,241935
2024-07-17,18367,241741
2024-07-18,18381,241416
2024-07-19,18415,241126
2024-07-20,18461,240392
2024-07-21,18447,240380
2024-07-22,18475,240379
2024-07-23,18502,240695
2024-07-24,18540,240662
2024-07-25,18563,240563
2024-07-26,18594,240147
2024-07-27,18648,239462
2024-07-28,18593,240157
2024-07-29,18614,240687
2024-07-30,18605,240748
2024-07-31,18605,240734
2024-08-01,18591,241728
2024-08-02,18624,240920
2024-08-03,18471,247084
2024-08-04,18476,247220
2024-08-05,18463,247306
2024-08-06,18498,246981
2024-08-07,18498,246762
2024-08-08,18519,246087
2024-08-09,18523,245800
2024-08-10,18538,245787
2024-08-11,18562,245970
2024-08-12,18583,246226
2024-08-13,18576,246208
2024-08-14,18583,246189
2024-08-15,18602,245810
2024-08-16,18610,245594
2024-08-17,18635,245610
2024-08-18,18652,246617
2024-08-19,18810,243504
2024-08-20,18921,240944
2024-08-21,18932,241350
2024-08-22,18971,241346
2024-08-23,19035,241482
2024-08-24,19044,241516
2024-08-25,19113,241134
2024-08-26,19135,241841
2024-08-27,19146,242398
2024-08-28,19191,242773
2024-08-29,19167,242734
2024-08-30,19194,243336
2024-08-31,19201,243784
2024-09-01,19210,243831
2024-09-02,19229,244458
2024-09-03,19201,244419
2024-09-04,18989,241016
2024-09-05,19003,241034
2024-09-06,18901,244235
2024-09-07,18808,247284
2024-09-08,18807,247274
2024-09-09,18798,247307
2024-09-10,18820,246903
2024-09-11,18829,246894
2024-09-12,18881,247163
2024-09-13,18909,247629
2024-09-14,18945,247687
2024-09-15,18950,247937
2024-09-16,19066,244933
2024-09-17,19232,242881
2024-09-18,19243,242187
2024-09-19,19250,242020
2024-09-20,19293,241684
2024-09-21,19293,241450
2024-09-22,19300,241738
2024-09-23,19309,241612
2024-09-24,19337,241871
2024-09-25,19351,241408
2024-09-26,19357,241174
2024-09-27,19344,240479
2024-09-28,19361,239584
2024-09-29,19369,240196
2024-09-30,19396,240232
2024-10-01,19386,239802
2024-10-02,19377,239635
2024-10-03,19372,238825
2024-10-04,19242,241045
2024-10-05,19182,242966
2024-10-06,19171,242516
2024-10-07,19189,242226
2024-10-08,19220,241738
2024-10-09,19255,241346
2024-10-10,19241,241870
2024-10-11,19249,241805
2024-10-12,19274,241754
2024-10-13,19276,241684
2024-10-14,19358,239687
2024-10-15,19508,235313
2024-10-16,19525,235049
2024-10-17,19545,234501
2024-10-18,19569,234621
2024-10-19,19573,234454
2024-10-20,19599,233965
2024-10-21,19632,234441
2024-10-22,19642,234701
2024-10-23,19641,235060
2024-10-24,19646,234362
2024-10-25,19664,234155
2024-10-26,19633,233931
2024-10-27,19611,234175
2024-10-28,19616,233771
2024-10-29,19635,233634
2024-10-30,19621,235265
2024-10-31,19605,235809
2024-11-01,19469,240653
2024-11-02,19473,239606
2024-11-03,19495,239652
2024-11-04,19497,239951
2024-11-05,19502,239864
2024-11-06,19490,239965
2024-11-07,19467,240129
2024-11-08,19467,240619
2024-11-09,19479,240798
2024-11-10,19464,240878
2024-11-11,19458,242147
2024-11-12,19469,242386
2024-11-13,19468,242504
2024-11-14,19471,242506
2024-11-15,19491,242720
2024-11-16,19483,242939
2024-11-17,19480,242907
2024-11-18,19474,243398
2024-11-19,19634,239013
2024-11-20,19673,237507
2024-11-21,19663,237101
2024-11-22,19662,237025
2024-11-23,19671,236933
2024-11-24,19670,237195
2024-11-25,19659,236724
2024-11-26,19617,236671
2024-11-27,19623,236550
2024-11-28,19611,236283
2024-11-29,19557,235356
2024-11-30,19553,234568
2024-12-01,19559,233736
2024-12-02,19591,232183
2024-12-03,19638,231920
2024-12-04,19656,232155
2024-12-05,19687,231964
2024-12-06,19581,236121
2024-12-07,19561,236572
2024-12-08,19572,236570
2024-12-09,19588,235870
2024-12-10,19635,234754
2024-12-11,19656,234620
2024-12-12,19684,234532
2024-12-13,19688,234320
2024-12-14,19698,234399
2024-12-15,19722,234557
2024-12-16,19795,233751
2024-12-17,19957,228509
2024-12-18,20007,227864
2024-12-19,20026,227363
2024-12-20,20034,227237
2024-12-21,20034,227378
2024-12-22,20077,226661
2024-12-23,20100,227046
2024-12-24,20116,227722
2024-12-25,20112,228325
2024-12-26,20103,229137
2024-12-27,20080,229980
2024-12-28,20123,228335
2024-12-29,20151,229242
2024-12-30,20147,229481
2024-12-31,20109,230515
2025-01-01,20094,269379
2025-01-02,20066,270799
2025-01-03,19945,275132
2025-01-04,19963,275607
2025-01-05,19974,276064
2025-01-06,19987,277576
2025-01-07,20011,277530
2025-01-08,20006,277869
2025-01-09,20017,277422
2025-01-10,20025,277739
2025-01-11,20025,277972
2025-01-12,20030,277812
2025-01-13,20044,277661
2025-01-14,20066,277139
2025-01-15,20089,276254
2025-01-16,20131,275659
2025-01-17,20155,274899
2025-01-18,20193,274254
2025-01-19,20234,273104
2025-01-20,20270,271830
2025-01-21,20355,268825
2025-01-22,20517,264201
2025-01-23,20549,262718
2025-01-24,20546,261787
2025-01-25,20546,261787
2025-01-26,20546,261787
2025-01-27,20690,257263
2025-01-28,20693,259656
2025-01-29,20699,258813
2025-01-30,20760,257948
2025-01-31,20784,254912
2025-02-01,20774,254187
2025-02-02,20794,253301
2025-02-03,20804,253231
2025-02-04,20789,252625
2025-02-05,20804,253231
2025-02-06,20674,259536
2025-02-07,20694,257666
2025-02-08,20705,255822
2025-02-09,20726,254848
2025-02-10,20726,254848
2025-02-11,20726,254848
2025-02-12,20836,254124
2025-02-13,20833,254645
2025-02-14,20828,254518
2025-02-15,20853,254608
2025-02-16,20861,255037
2025-02-17,20861,255683
2025-02-18,20885,255890
2025-02-19,21082,248178
2025-02-20,21190,245191
2025-02-21,21214,245424
2025-02-22,21205,245844
2025-02-23,21191,245842
2025-02-24,21191,245811
2025-02-25,21205,246025
2025-02-26,21227,246136
2025-02-27,0,0
2025-02-28,21281,245669
2025-03-01,21266,245726
2025-03-02,21275,245628
2025-03-03,0,0
2025-03-04,21291,246256
2025-03-05,21276,247205
2025-03-06,21143,254408
2025-03-07,21160,254624
2025-03-08,21196,253549
2025-03-09,21183,253285
2025-03-10,21186,253203
2025-03-11,21164,252466
2025-03-12,21164,252466
2025-03-13,21187,253135
2025-03-14,0,0
2025-03-15,21196,254048
2025-03-16,21211,254052
2025-03-17,21228,254609
2025-03-18,21231,255021
2025-03-19,0,0
2025-03-20,21485,246696
2025-03-21,21471,246861
2025-03-22,0,0
2025-03-23,21514,246926
2025-03-24,21526,247129
2025-03-25,21563,247606
2025-03-26,21600,246635
2025-03-27,21580,246965
2025-03-28,21560,247630
2025-03-29,21565,247489
2025-03-30,21585,247744
2025-03-31,21567,248001
2025-04-01,21572,247996
2025-04-02,21498,249325
2025-04-03,21449,253907
2025-04-04,21449,253785
2025-04-05,21498,253186
2025-04-06,21520,253097
2025-04-07,21519,252746
2025-04-08,21550,252177
2025-04-09,21547,252746
2025-04-10,21567,252129
2025-04-11,21594,253039
2025-04-12,21595,252921
2025-04-13,21595,253232
2025-04-14,21603,252979
2025-04-15,21621,253088
2025-04-16,21767,247785
2025-04-17,21772,248001
2025-04-18,21785,245638
2025-04-19,21785,245638
2025-04-20,21785,245638
2025-04-21,21785,245638
2025-04-22,21756,244865
2025-04-23,21749,244416
2025-04-24,21738,244980
2025-04-25,21656,245904
2025-04-26,21637,245851
2025-04-27,21634,246069
