date,num_rrsig,num_httpsrr
2024-04-01,27174,272163
2024-04-02,27168,272999
2024-04-03,27182,273042
2024-04-04,27146,274767
2024-04-05,27157,276481
2024-04-06,27131,276021
2024-04-07,26881,280382
2024-04-08,26847,277537
2024-04-09,26809,277607
2024-04-10,26776,278564
2024-04-11,26755,276305
2024-04-12,26778,275094
2024-04-13,27039,271889
2024-04-14,27028,272198
2024-04-15,27010,272468
2024-04-16,27010,272468
2024-04-17,27010,272468
2024-04-18,27010,272468
2024-04-19,27010,272468
2024-04-20,27010,272468
2024-04-21,27010,272468
2024-04-22,26147,261707
2024-04-23,26968,271465
2024-04-24,26978,270832
2024-04-25,26935,270725
2024-04-26,26981,270914
2024-04-27,26989,271119
2024-04-28,26972,271152
2024-04-29,26979,271017
2024-04-30,27000,270591
2024-05-01,27054,270623
2024-05-02,27100,269895
2024-05-03,27112,267947
2024-05-04,27030,269575
2024-05-05,26829,273702
2024-05-06,26873,272906
2024-05-07,26842,272290
2024-05-08,26835,271669
2024-05-09,26848,270908
2024-05-10,26890,270337
2024-05-11,26920,270265
2024-05-12,26912,270358
2024-05-13,26886,270296
2024-05-14,26899,269476
2024-05-15,26914,269357
2024-05-16,26905,269232
2024-05-17,26929,268955
2024-05-18,27110,265435
2024-05-19,27230,263175
2024-05-20,27259,263221
2024-05-21,27241,262655
2024-05-22,27236,261525
2024-05-23,27255,261273
2024-05-24,27271,260727
2024-05-25,27248,260602
2024-05-26,27254,260023
2024-05-27,27264,259752
2024-05-28,27219,259740
2024-05-29,27236,259605
2024-05-30,27237,259657
2024-05-31,27248,259639
2024-06-01,27272,259384
2024-06-02,27290,259100
2024-06-03,27302,258978
2024-06-04,27307,259135
2024-06-05,27305,259042
2024-06-06,27326,258335
2024-06-07,27364,257110
2024-06-08,27385,257248
2024-06-09,27190,259644
2024-06-10,27147,259683
2024-06-11,27206,259043
2024-06-12,27217,258720
2024-06-13,27258,258668
2024-06-14,27278,258686
2024-06-15,27288,258557
2024-06-16,27566,253769
2024-06-17,27579,253622
2024-06-18,27609,253361
2024-06-19,27658,252689
2024-06-20,27627,252108
2024-06-21,27664,251425
2024-06-22,27689,251313
2024-06-23,27713,251086
2024-06-24,27709,250955
2024-06-25,27708,250916
2024-06-26,27713,250909
2024-06-27,27689,250882
2024-06-28,27743,251037
2024-06-29,27754,251024
2024-06-30,27781,251244
2024-07-01,27781,251312
2024-07-02,27820,250570
2024-07-03,27882,250284
2024-07-04,27904,250017
2024-07-05,27878,249521
2024-07-06,27755,252190
2024-07-07,27652,254844
2024-07-08,27688,254296
2024-07-09,27719,253724
2024-07-10,27748,253652
2024-07-11,27751,253958
2024-07-12,27802,254132
2024-07-13,27834,254055
2024-07-14,27909,253218
2024-07-15,28163,248286
2024-07-16,28212,248248
2024-07-17,28240,248064
2024-07-18,28277,247786
2024-07-19,28270,247429
2024-07-20,28247,246602
2024-07-21,28228,246548
2024-07-22,28242,246573
2024-07-23,28244,246825
2024-07-24,28289,246805
2024-07-25,28320,246735
2024-07-26,28377,245786
2024-07-27,28394,245522
2024-07-28,28363,246111
2024-07-29,28381,246576
2024-07-30,28373,246608
2024-07-31,28378,246625
2024-08-01,28350,247518
2024-08-02,28410,246765
2024-08-03,28197,252233
2024-08-04,28198,252303
2024-08-05,28180,252307
2024-08-06,28217,251791
2024-08-07,28228,251579
2024-08-08,28267,250975
2024-08-09,28242,250640
2024-08-10,28265,250502
2024-08-11,28301,250701
2024-08-12,28312,250965
2024-08-13,28304,251030
2024-08-14,28283,250955
2024-08-15,28293,250542
2024-08-16,28314,250316
2024-08-17,28347,250387
2024-08-18,28376,251348
2024-08-19,28578,248783
2024-08-20,28744,246591
2024-08-21,28771,246988
2024-08-22,28819,246879
2024-08-23,28900,247184
2024-08-24,28937,247272
2024-08-25,29000,246961
2024-08-26,29011,247524
2024-08-27,28999,248138
2024-08-28,29026,248428
2024-08-29,28989,248452
2024-08-30,29040,249063
2024-08-31,29044,249451
2024-09-01,29131,249578
2024-09-02,29145,250161
2024-09-03,29134,249975
2024-09-04,28984,247993
2024-09-05,29004,248018
2024-09-06,28827,251225
2024-09-07,28685,254089
2024-09-08,28686,254088
2024-09-09,28677,254059
2024-09-10,28700,253657
2024-09-11,28697,253623
2024-09-12,28773,254911
2024-09-13,28834,255447
2024-09-14,28878,255642
2024-09-15,28865,255870
2024-09-16,29063,253310
2024-09-17,29248,251232
2024-09-18,29261,250510
2024-09-19,29290,250373
2024-09-20,29388,250122
2024-09-21,29389,249917
2024-09-22,29368,250174
2024-09-23,29378,250009
2024-09-24,29417,250210
2024-09-25,29421,249647
2024-09-26,29441,249436
2024-09-27,29435,248580
2024-09-28,29473,248102
2024-09-29,29491,248748
2024-09-30,29536,248791
2024-10-01,29512,248302
2024-10-02,29507,248082
2024-10-03,29546,247339
2024-10-04,29420,249775
2024-10-05,29328,251641
2024-10-06,29335,251389
2024-10-07,29353,251064
2024-10-08,29391,250533
2024-10-09,29434,250099
2024-10-10,29447,250750
2024-10-11,29455,250704
2024-10-12,29476,250398
2024-10-13,29499,250470
2024-10-14,29600,248528
2024-10-15,29846,244004
2024-10-16,29881,243721
2024-10-17,29928,243326
2024-10-18,29993,243418
2024-10-19,29985,243196
2024-10-20,29993,242687
2024-10-21,30047,243047
2024-10-22,30046,243311
2024-10-23,30069,243623
2024-10-24,30035,242913
2024-10-25,30071,242529
2024-10-26,30026,242389
2024-10-27,29962,242698
2024-10-28,29939,242170
2024-10-29,29964,242128
2024-10-30,29930,243716
2024-10-31,29922,244364
2024-11-01,29654,249352
2024-11-02,29684,248410
2024-11-03,29687,248371
2024-11-04,29706,248608
2024-11-05,29715,248526
2024-11-06,29724,248737
2024-11-07,29695,248993
2024-11-08,29693,249500
2024-11-09,29747,249685
2024-11-10,29729,249751
2024-11-11,29689,250974
2024-11-12,29691,251182
2024-11-13,29658,250994
2024-11-14,29656,251405
2024-11-15,29667,251610
2024-11-16,29651,251937
2024-11-17,29651,251882
2024-11-18,29639,252461
2024-11-19,29901,248042
2024-11-20,29965,246489
2024-11-21,30000,246034
2024-11-22,30014,246106
2024-11-23,30020,246188
2024-11-24,30018,246228
2024-11-25,29999,245449
2024-11-26,29991,245458
2024-11-27,29999,245364
2024-11-28,29987,245060
2024-11-29,29927,243364
2024-11-30,29918,243104
2024-12-01,29899,242147
2024-12-02,29947,240542
2024-12-03,30005,240265
2024-12-04,30032,240415
2024-12-05,30063,240161
2024-12-06,29883,244358
2024-12-07,29838,244817
2024-12-08,29845,244844
2024-12-09,29861,243808
2024-12-10,29908,242885
2024-12-11,29909,242601
2024-12-12,29949,242379
2024-12-13,29961,242407
2024-12-14,29977,242493
2024-12-15,29969,242746
2024-12-16,30046,241987
2024-12-17,30324,236986
2024-12-18,30392,236263
2024-12-19,30423,235859
2024-12-20,30440,235728
2024-12-21,30441,235872
2024-12-22,30525,234945
2024-12-23,30530,235300
2024-12-24,30552,236040
2024-12-25,30555,236689
2024-12-26,30532,237522
2024-12-27,30502,238363
2024-12-28,30644,236924
2024-12-29,30640,237938
2024-12-30,30612,238286
2024-12-31,30553,239364
2025-01-01,30527,371779
2025-01-02,30432,373994
2025-01-03,30236,377512
2025-01-04,30247,377795
2025-01-05,30256,378438
2025-01-06,30216,380757
2025-01-07,30235,379902
2025-01-08,30229,380194
2025-01-09,30247,379321
2025-01-10,30288,379980
2025-01-11,30274,380222
2025-01-12,30271,379452
2025-01-13,30266,379607
2025-01-14,30307,379523
2025-01-15,30356,378809
2025-01-16,30390,378257
2025-01-17,30425,377846
2025-01-18,30479,377030
2025-01-19,30525,375759
2025-01-20,30566,375234
2025-01-21,30728,372460
