date,num_adbit
2024-04-01,7035
2024-04-02,7031
2024-04-03,7028
2024-04-04,7030
2024-04-05,7030
2024-04-06,7030
2024-04-07,7000
2024-04-08,6991
2024-04-09,6989
2024-04-10,6975
2024-04-11,6966
2024-04-12,6966
2024-04-13,6980
2024-04-14,6974
2024-04-15,6967
2024-05-01,6942
2024-05-02,6941
2024-05-03,6937
2024-05-04,6924
2024-05-05,6891
2024-05-06,6899
2024-05-07,6901
2024-05-08,6902
2024-05-09,6905
2024-05-10,6904
2024-05-11,6910
2024-05-12,6901
2024-05-13,6905
2024-05-14,6909
2024-05-15,6913
2024-05-16,6908
2024-05-17,6902
2024-05-18,6932
2024-05-19,6950
2024-05-20,6952
2024-05-21,6950
2024-05-22,6956
2024-05-23,6960
2024-05-24,6962
2024-05-25,6959
2024-05-26,6966
2024-05-27,6967
2024-05-28,6958
2024-05-29,6962
2024-05-30,6956
2024-05-31,6953
2024-06-01,6957
2024-06-02,6959
2024-06-03,6956
2024-06-04,6952
2024-06-05,6949
2024-06-06,6940
2024-06-07,6946
2024-06-08,6940
2024-06-09,6907
2024-06-10,6901
2024-06-11,6913
2024-06-12,6908
2024-06-13,6910
2024-06-14,6913
2024-06-15,6916
2024-06-16,6952
2024-06-17,6952
2024-06-18,6948
2024-06-19,6960
2024-06-20,6971
2024-06-21,6969
2024-06-22,6970
2024-06-23,6975
2024-06-24,6979
2024-06-25,6979
2024-06-26,6982
2024-06-27,6974
2024-06-28,6971
2024-06-29,6972
2024-06-30,6971
2024-07-01,6968
2024-07-02,6960
2024-07-03,6960
2024-07-04,6962
2024-07-05,6950
2024-07-06,6939
2024-07-07,6924
2024-07-08,6924
2024-07-09,6933
2024-07-10,6933
2024-07-11,6932
2024-07-12,6939
2024-07-13,6943
2024-07-14,6947
2024-07-15,6976
2024-07-16,6981
2024-07-17,6986
2024-07-18,6993
2024-07-19,6998
2024-07-20,7005
2024-07-21,7007
2024-07-22,7007
2024-07-23,7010
2024-07-24,7021
2024-07-25,7022
2024-07-26,7035
2024-07-27,7052
2024-07-28,7018
2024-07-29,7019
2024-07-30,7017
2024-07-31,7022
2024-08-01,7027
2024-08-02,7032
2024-08-03,7010
2024-08-04,7009
2024-08-05,7010
2024-08-06,7014
2024-08-07,7015
2024-08-08,7019
2024-08-09,7019
2024-08-10,7024
2024-08-11,7026
2024-08-12,7032
2024-08-13,7044
2024-08-14,7047
2024-08-15,7057
2024-08-16,7048
2024-08-17,7059
2024-08-18,7061
2024-08-19,7087
2024-08-20,7105
2024-08-21,7102
2024-08-22,7112
2024-08-23,7140
2024-08-24,7141
2024-08-25,7164
2024-08-26,7168
2024-08-27,7174
2024-08-28,7180
2024-08-29,7174
2024-08-30,7174
2024-08-31,7169
2024-09-01,7168
2024-09-02,7170
2024-09-03,7158
2024-09-04,7074
2024-09-05,7082
2024-09-06,7075
2024-09-07,7062
2024-09-08,7062
2024-09-09,7058
2024-09-10,7064
2024-09-11,7068
2024-09-12,7083
2024-09-13,7087
2024-09-14,7104
2024-09-15,7106
2024-09-16,7113
2024-09-17,7127
2024-09-18,7131
2024-09-19,7136
2024-09-20,7143
2024-09-21,7141
2024-09-22,7141
2024-09-23,7144
2024-09-24,7149
2024-09-25,7147
2024-09-26,7153
2024-09-27,7158
2024-09-28,7160
2024-09-29,7154
2024-09-30,7153
2024-10-01,7145
2024-10-02,7145
2024-10-03,7144
2024-10-04,7125
2024-10-05,7122
2024-10-06,7123
2024-10-07,7124
2024-10-08,7126
2024-10-09,7127
2024-10-10,7128
2024-10-11,7134
2024-10-12,7134
2024-10-13,7141
2024-10-14,7144
2024-10-15,7161
2024-10-16,7157
2024-10-17,7153
2024-10-18,7153
2024-10-19,7155
2024-10-20,7156
2024-10-21,7162
2024-10-22,7159
2024-10-23,7155
2024-10-24,7156
2024-10-25,7165
2024-10-26,7155
2024-10-27,7154
2024-10-28,7152
2024-10-29,7155
2024-10-30,7161
2024-10-31,7160
2024-11-01,7150
2024-11-02,7151
2024-11-03,7153
2024-11-04,7152
2024-11-05,7152
2024-11-06,7149
2024-11-07,7155
2024-11-08,7161
2024-11-09,7167
2024-11-10,7171
2024-11-11,7170
2024-11-12,7182
2024-11-13,7188
2024-11-14,7191
2024-11-15,7184
2024-11-16,7185
2024-11-17,7179
2024-11-18,7179
2024-11-19,7192
2024-11-20,7200
2024-11-21,7203
2024-11-22,7196
2024-11-23,7209
2024-11-24,7205
2024-11-25,7195
2024-11-26,7197
2024-11-27,7203
2024-11-28,7202
2024-11-29,7188
2024-11-30,7190
2024-12-01,7190
2024-12-02,7187
2024-12-03,7194
2024-12-04,7190
2024-12-05,7199
2024-12-06,7185
2024-12-07,7181
2024-12-08,7174
2024-12-09,7176
2024-12-10,7177
2024-12-11,7184
2024-12-12,7195
2024-12-13,7195
2024-12-14,7191
2024-12-15,7192
2024-12-16,7195
2024-12-17,7223
2024-12-18,5405
2024-12-19,7227
2024-12-20,7231
2024-12-21,7236
2024-12-22,7236
2024-12-23,7234
2024-12-24,7237
2024-12-25,7240
2024-12-26,7237
2024-12-27,7238
2024-12-28,7234
2024-12-29,7238
2024-12-30,7234
2024-12-31,7232
