date,num_adbit
2024-04-01,12741
2024-04-02,12723
2024-04-03,12686
2024-04-04,12667
2024-04-05,12653
2024-04-06,12644
2024-04-07,12557
2024-04-08,12546
2024-04-09,12548
2024-04-10,12521
2024-04-11,12505
2024-04-12,12508
2024-04-13,12609
2024-04-14,12606
2024-04-15,12592
2024-04-16,12292
2024-04-17,12533
2024-04-18,12524
2024-04-19,12513
2024-04-20,12492
2024-04-21,12477
2024-04-22,12326
2024-04-23,12611
2024-04-24,12610
2024-04-25,12619
2024-04-26,12607
2024-04-27,12602
2024-04-28,12595
2024-04-29,12586
2024-04-30,12534
2024-05-01,12493
2024-05-02,12479
2024-05-03,12485
2024-05-04,12446
2024-05-05,12365
2024-05-06,12386
2024-05-07,12378
2024-05-08,12384
2024-05-09,12371
2024-05-10,12375
2024-05-11,12382
2024-05-12,12381
2024-05-13,12382
2024-05-14,12388
2024-05-15,12386
2024-05-16,12376
2024-05-17,12368
2024-05-18,12456
2024-05-19,12503
2024-05-20,12520
2024-05-21,12519
2024-05-22,12556
2024-05-23,12573
2024-05-24,12581
2024-05-25,12576
2024-05-26,12590
2024-05-27,12595
2024-05-28,12596
2024-05-29,12595
2024-05-30,12599
2024-05-31,12601
2024-06-01,12602
2024-06-02,12601
2024-06-03,12611
2024-06-04,12614
2024-06-05,12602
2024-06-06,12542
2024-06-07,12562
2024-06-08,12573
2024-06-09,12499
2024-06-10,12491
2024-06-11,12513
2024-06-12,12508
2024-06-13,12514
2024-06-14,12527
2024-06-15,12530
2024-06-16,12623
2024-06-17,12635
2024-06-18,12641
2024-06-19,12662
2024-06-20,12734
2024-06-21,12770
2024-06-22,12777
2024-06-23,12790
2024-06-24,12797
2024-06-25,12776
2024-06-26,12768
2024-06-27,12731
2024-06-28,12749
2024-06-29,12737
2024-06-30,12723
2024-07-01,12725
2024-07-02,12663
2024-07-03,12657
2024-07-04,12652
2024-07-05,12644
2024-07-06,12585
2024-07-07,12545
2024-07-08,12560
2024-07-09,12574
2024-07-10,12575
2024-07-11,12578
2024-07-12,12585
2024-07-13,12589
2024-07-14,12611
2024-07-15,12721
2024-07-16,12729
2024-07-17,12742
2024-07-18,12764
2024-07-19,12779
2024-07-20,12820
2024-07-21,12803
2024-07-22,12799
2024-07-23,12795
2024-07-24,12815
2024-07-25,12817
2024-07-26,12823
2024-07-27,12819
2024-07-28,12772
2024-07-29,12765
2024-07-30,12755
2024-07-31,12759
2024-08-01,12753
2024-08-02,12762
2024-08-03,12711
2024-08-04,12705
2024-08-05,12707
2024-08-06,12715
2024-08-07,12729
2024-08-08,12733
2024-08-09,12714
2024-08-10,12725
2024-08-11,12732
2024-08-12,12738
2024-08-13,12759
2024-08-14,12753
2024-08-15,12766
2024-08-16,12779
2024-08-17,12790
2024-08-18,12806
2024-08-19,12870
2024-08-20,12931
2024-08-21,12947
2024-08-22,12952
2024-08-23,12983
2024-08-24,12996
2024-08-25,13058
2024-08-26,13056
2024-08-27,13035
2024-08-28,13044
2024-08-29,13043
2024-08-30,13045
2024-08-31,13055
2024-09-01,13023
2024-09-02,13019
2024-09-03,13026
2024-09-04,12988
2024-09-05,13004
2024-09-06,12951
2024-09-07,12900
2024-09-08,12902
2024-09-09,12893
2024-09-10,12916
2024-09-11,12909
2024-09-12,12916
2024-09-13,12933
2024-09-14,12935
2024-09-15,12936
2024-09-16,13001
2024-09-17,13031
2024-09-18,13032
2024-09-19,13049
2024-09-20,13074
2024-09-21,13097
2024-09-22,13117
2024-09-23,13117
2024-09-24,13120
2024-09-25,13123
2024-09-26,13123
2024-09-27,13136
2024-09-28,13134
2024-09-29,13115
2024-09-30,13087
2024-10-01,13084
2024-10-02,13079
2024-10-03,13080
2024-10-04,13059
2024-10-05,13038
2024-10-06,13043
2024-10-07,13048
2024-10-08,13051
2024-10-09,13069
2024-10-10,13069
2024-10-11,13063
2024-10-12,13070
2024-10-13,13072
2024-10-14,13089
2024-10-15,13150
2024-10-16,13152
2024-10-17,13169
2024-10-18,13174
2024-10-19,13173
2024-10-20,13223
2024-10-21,13240
2024-10-22,13239
2024-10-23,13238
2024-10-24,13222
2024-10-25,13235
2024-10-26,13218
2024-10-27,13183
2024-10-28,13175
2024-10-29,13184
2024-10-30,13192
2024-10-31,13194
2024-11-01,13134
2024-11-02,13140
2024-11-03,13132
2024-11-04,13120
2024-11-05,13115
2024-11-06,13119
2024-11-07,13125
2024-11-08,13124
2024-11-09,13141
2024-11-10,13137
2024-11-11,13123
2024-11-12,13122
2024-11-13,13108
2024-11-14,13123
2024-11-15,13109
2024-11-16,13106
2024-11-17,13094
2024-11-18,13085
2024-11-19,13154
2024-11-20,13166
2024-11-21,13177
2024-11-22,13190
2024-11-23,13187
2024-11-24,13178
2024-11-25,13223
2024-11-26,13223
2024-11-27,13213
2024-11-28,13201
2024-11-29,13205
2024-11-30,13202
2024-12-01,13167
2024-12-02,13151
2024-12-03,13161
2024-12-04,13160
2024-12-05,13170
2024-12-06,13125
2024-12-07,13111
2024-12-08,13102
2024-12-09,13104
2024-12-10,13111
2024-12-11,13103
2024-12-12,13117
2024-12-13,13118
2024-12-14,13106
2024-12-15,13109
2024-12-16,13123
2024-12-17,13197
2024-12-19,13211
2024-12-20,13226
2024-12-21,13229
2024-12-22,13282
2024-12-23,13274
2024-12-24,13271
2024-12-25,13280
2024-12-26,13274
2024-12-27,13279
2024-12-28,13224
2024-12-29,13226
2024-12-30,13213
2024-12-31,13196
