date,num_httpsrr
2024-04-01,90169
2024-04-02,89737
2024-04-03,89146
2024-04-04,88856
2024-04-05,88561
2024-04-06,88294
2024-04-07,87277
2024-04-08,87044
2024-04-09,86913
2024-04-10,86710
2024-04-11,86466
2024-04-12,86454
2024-04-13,87180
2024-04-14,86989
2024-04-15,86825
2024-04-16,86825
2024-04-17,86825
2024-04-18,86825
2024-04-19,86825
2024-04-20,86825
2024-04-21,86825
2024-04-22,86709
2024-04-23,86510
2024-04-24,86378
2024-04-25,86401
2024-04-26,86283
2024-04-27,86156
2024-04-28,86173
2024-04-29,86065
2024-04-30,85501
2024-05-01,84952
2024-05-02,84863
2024-05-03,84706
2024-05-04,84254
2024-05-05,83283
2024-05-06,83270
2024-05-07,83279
2024-05-08,83255
2024-05-09,83250
2024-05-10,83266
2024-05-11,83325
2024-05-12,83352
2024-05-13,83286
2024-05-14,83250
2024-05-15,83185
2024-05-16,83091
2024-05-17,82944
2024-05-18,83831
2024-05-19,84244
2024-05-20,84190
2024-05-21,84113
2024-05-22,84752
2024-05-23,85023
2024-05-24,85109
2024-05-25,85106
2024-05-26,85048
2024-05-27,84997
2024-05-28,85135
2024-05-29,85078
2024-05-30,85056
2024-05-31,85113
2024-06-01,85100
2024-06-02,85003
2024-06-03,84977
2024-06-04,85006
2024-06-05,84722
2024-06-06,84107
2024-06-07,84182
2024-06-08,84120
2024-06-09,83223
2024-06-10,83126
2024-06-11,83276
2024-06-12,83259
2024-06-13,83154
2024-06-14,83087
2024-06-15,83070
2024-06-16,84489
2024-06-17,84456
2024-06-18,84474
2024-06-19,84430
2024-06-20,85279
2024-06-21,85375
2024-06-22,85395
2024-06-23,85441
2024-06-24,85419
2024-06-25,85376
2024-06-26,85398
2024-06-27,85364
2024-06-28,85318
2024-06-29,85230
2024-06-30,85183
2024-07-01,85122
2024-07-02,84513
2024-07-03,84228
2024-07-04,84138
2024-07-05,84186
2024-07-06,83438
2024-07-07,82748
2024-07-08,82721
2024-07-09,82842
2024-07-10,82732
2024-07-11,82735
2024-07-12,82771
2024-07-13,82724
2024-07-14,82949
2024-07-15,84099
2024-07-16,84085
2024-07-17,84140
2024-07-18,84128
2024-07-19,84355
2024-07-20,84874
2024-07-21,84899
2024-07-22,84857
2024-07-23,84885
2024-07-24,84927
2024-07-25,84937
2024-07-26,84924
2024-07-27,84964
2024-07-28,84171
2024-07-29,84082
2024-07-30,84079
2024-07-31,84109
2024-08-01,84084
2024-08-02,84212
2024-08-03,83208
2024-08-04,83263
2024-08-05,83277
2024-08-06,83321
2024-08-07,83399
2024-08-08,83410
2024-08-09,83457
2024-08-10,83520
2024-08-11,83574
2024-08-12,83667
2024-08-13,83895
2024-08-14,83891
2024-08-15,83915
2024-08-16,83962
2024-08-17,84007
2024-08-18,84124
2024-08-19,84914
2024-08-20,85606
2024-08-21,85761
2024-08-22,85830
2024-08-23,85910
2024-08-24,86101
2024-08-25,86832
2024-08-26,86917
2024-08-27,86997
2024-08-28,87053
2024-08-29,87161
2024-08-30,87155
2024-08-31,87194
2024-09-01,86595
2024-09-02,86602
2024-09-03,86511
2024-09-04,84595
2024-09-05,84595
2024-09-06,84014
2024-09-07,83599
2024-09-08,83598
2024-09-09,83670
2024-09-10,83775
2024-09-11,83770
2024-09-12,83777
2024-09-13,83880
2024-09-14,83949
2024-09-15,83928
2024-09-16,84534
2024-09-17,85015
2024-09-18,85022
2024-09-19,85037
2024-09-20,85090
2024-09-21,85427
2024-09-22,85890
2024-09-23,85899
2024-09-24,85981
2024-09-25,85976
2024-09-26,85955
2024-09-27,85971
2024-09-28,85958
2024-09-29,85614
