date,num_httpsrr
2024-04-01,99413
2024-04-02,98991
2024-04-03,98349
2024-04-04,98022
2024-04-05,97713
2024-04-06,97429
2024-04-07,96320
2024-04-08,96053
2024-04-09,95925
2024-04-10,95720
2024-04-11,95486
2024-04-12,95480
2024-04-13,96290
2024-04-14,96094
2024-04-15,95919
2024-04-16,95919
2024-04-17,95919
2024-04-18,95919
2024-04-19,95919
2024-04-20,95919
2024-04-21,95919
2024-04-22,93177
2024-04-23,95690
2024-04-24,95555
2024-04-25,95583
2024-04-26,95439
2024-04-27,95303
2024-04-28,95321
2024-04-29,95186
2024-04-30,94612
2024-05-01,94004
2024-05-02,93902
2024-05-03,93745
2024-05-04,93250
2024-05-05,92196
2024-05-06,92219
2024-05-07,92197
2024-05-08,92174
2024-05-09,92155
2024-05-10,92140
2024-05-11,92209
2024-05-12,92245
2024-05-13,92173
2024-05-14,92132
2024-05-15,92075
2024-05-16,91975
2024-05-17,91823
2024-05-18,92777
2024-05-19,93249
2024-05-20,93199
2024-05-21,93149
2024-05-22,93809
2024-05-23,94131
2024-05-24,94127
2024-05-25,94101
2024-05-26,94043
2024-05-27,94013
2024-05-28,94157
2024-05-29,94117
2024-05-30,94117
2024-05-31,94184
2024-06-01,94188
2024-06-02,94096
2024-06-03,94071
2024-06-04,94107
2024-06-05,93823
2024-06-06,93119
2024-06-07,93222
2024-06-08,93174
2024-06-09,92181
2024-06-10,92097
2024-06-11,92264
2024-06-12,92259
2024-06-13,92171
2024-06-14,92134
2024-06-15,92135
2024-06-16,93678
2024-06-17,93664
2024-06-18,93700
2024-06-19,93681
2024-06-20,94638
2024-06-21,94782
2024-06-22,94798
2024-06-23,94869
2024-06-24,94868
2024-06-25,94800
2024-06-26,94803
2024-06-27,94756
2024-06-28,94708
2024-06-29,94620
2024-06-30,94556
2024-07-01,94510
2024-07-02,93823
2024-07-03,93519
2024-07-04,93454
2024-07-05,93503
2024-07-06,92681
2024-07-07,91949
2024-07-08,91948
2024-07-09,92083
2024-07-10,91984
2024-07-11,91993
2024-07-12,92037
2024-07-13,91984
2024-07-14,92250
2024-07-15,93562
2024-07-16,93557
2024-07-17,93641
2024-07-18,93668
2024-07-19,93915
2024-07-20,94500
2024-07-21,94524
2024-07-22,94479
2024-07-23,94512
2024-07-24,94585
2024-07-25,94609
2024-07-26,94624
2024-07-27,94616
2024-07-28,93784
2024-07-29,93682
2024-07-30,93670
2024-07-31,93714
2024-08-01,93700
2024-08-02,93834
2024-08-03,92759
2024-08-04,92846
2024-08-05,92834
2024-08-06,92901
2024-08-07,92983
2024-08-08,93031
2024-08-09,93051
2024-08-10,93135
2024-08-11,93196
2024-08-12,93290
2024-08-13,93568
2024-08-14,93563
2024-08-15,93592
2024-08-16,93655
2024-08-17,93734
2024-08-18,93872
2024-08-19,94738
2024-08-20,95473
2024-08-21,95653
2024-08-22,95742
2024-08-23,95844
2024-08-24,96056
2024-08-25,96866
2024-08-26,96937
2024-08-27,97035
2024-08-28,97096
2024-08-29,97239
2024-08-30,97244
2024-08-31,97290
2024-09-01,96655
2024-09-02,96644
2024-09-03,96473
2024-09-04,94348
2024-09-05,94367
2024-09-06,93707
2024-09-07,93257
2024-09-08,93270
2024-09-09,93325
2024-09-10,93455
2024-09-11,93450
2024-09-12,93453
2024-09-13,93598
2024-09-14,93674
2024-09-15,93663
2024-09-16,94318
2024-09-17,94839
2024-09-18,94867
2024-09-19,94905
2024-09-20,94973
2024-09-21,95330
2024-09-22,95826
2024-09-23,95817
2024-09-24,95900
2024-09-25,95898
2024-09-26,95870
2024-09-27,95898
2024-09-28,95893
2024-09-29,95506
2024-09-30,95206
2024-10-01,95204
2024-10-02,95093
2024-10-03,95129
2024-10-04,94530
2024-10-05,94213
2024-10-06,94207
2024-10-07,94222
2024-10-08,94297
2024-10-09,94257
2024-10-10,94247
2024-10-11,94219
2024-10-12,94199
2024-10-13,94169
2024-10-14,94414
2024-10-15,95301
2024-10-16,95295
2024-10-17,95363
2024-10-18,95423
2024-10-19,95461
2024-10-20,96133
2024-10-21,96224
2024-10-22,96261
2024-10-23,96190
2024-10-24,96169
2024-10-25,96175
2024-10-26,95935
2024-10-27,95472
2024-10-28,95378
2024-10-29,95380
2024-10-30,95277
2024-10-31,95278
2024-11-01,94248
2024-11-02,94350
2024-11-03,94339
2024-11-04,94288
2024-11-05,94345
2024-11-06,94217
2024-11-07,94155
2024-11-08,94078
2024-11-09,94062
2024-11-10,94034
2024-11-11,93874
2024-11-12,93888
2024-11-13,93829
2024-11-14,93762
2024-11-15,93743
2024-11-16,93675
2024-11-17,93573
2024-11-18,93386
2024-11-19,94117
2024-11-20,94294
2024-11-21,94264
2024-11-22,94213
2024-11-23,94128
2024-11-24,94058
2024-11-25,94545
2024-11-26,94487
2024-11-27,94438
2024-11-28,94376
2024-11-29,94487
2024-11-30,94435
2024-12-01,94052
2024-12-02,93886
2024-12-03,93885
2024-12-04,93817
2024-12-05,93841
2024-12-06,93157
2024-12-07,92969
2024-12-08,92953
2024-12-09,92915
2024-12-10,93022
2024-12-11,92995
2024-12-12,93032
2024-12-13,93019
2024-12-14,93007
2024-12-15,92957
2024-12-16,93113
2024-12-17,94015
2024-12-18,94061
2024-12-19,94100
2024-12-20,94162
2024-12-21,94182
2024-12-22,94769
2024-12-23,94775
2024-12-24,94721
2024-12-25,94684
2024-12-26,94652
2024-12-27,94594
2024-12-28,94016
2024-12-29,93923
2024-12-30,93848
2024-12-31,93812
2025-01-01,136241
2025-01-02,135949
2025-01-03,134932
2025-01-04,135229
2025-01-05,135214
2025-01-06,135405
2025-01-07,135149
2025-01-08,135241
2025-01-09,135102
2025-01-10,135380
2025-01-11,135275
2025-01-12,135314
2025-01-13,135308
2025-01-14,135563
2025-01-15,135616
2025-01-16,135768
2025-01-17,135869
2025-01-18,135912
2025-01-19,136032
2025-01-20,136074
2025-01-21,136842
2025-01-22,137620
2025-01-23,137818
2025-01-24,138082
2025-01-27,138233
2025-01-28,138979
2025-01-29,139090
2025-01-30,139251
2025-01-31,138751
2025-02-01,138765
2025-02-02,138792
2025-02-03,138800
2025-02-04,138820
2025-02-05,138882
2025-02-06,137493
2025-02-07,137589
2025-02-08,137835
2025-02-09,137890
2025-02-12,138289
2025-02-13,138157
2025-02-14,138171
2025-02-15,138159
2025-02-16,138023
2025-02-17,137883
2025-02-18,137940
2025-02-19,139072
2025-02-20,139568
2025-02-21,139582
2025-02-22,139761
2025-02-23,139553
2025-02-24,139604
2025-02-25,140219
2025-02-26,140427
2025-02-27,0
2025-02-28,139624
2025-03-01,139536
2025-03-02,139527
2025-03-03,0
2025-03-04,139507
2025-03-05,139257
2025-03-06,138022
2025-03-07,138803
2025-03-08,138264
2025-03-09,138116
2025-03-10,138045
2025-03-11,138312
2025-03-13,138101
2025-03-14,0
2025-03-15,138121
2025-03-16,137887
2025-03-17,137682
2025-03-18,137717
2025-03-19,0
2025-03-20,138883
2025-03-21,138801
2025-03-22,0
2025-03-23,138624
2025-03-24,138587
2025-03-25,139318
2025-03-26,139507
2025-03-27,139080
2025-03-28,138876
2025-03-29,138732
2025-03-30,138556
2025-03-31,138463
2025-04-01,138370
2025-04-02,137956
2025-04-03,137199
2025-04-04,137193
2025-04-05,137435
2025-04-06,137183
2025-04-07,137089
2025-04-08,137084
2025-04-09,137115
2025-04-10,137232
2025-04-11,136663
2025-04-12,136564
2025-04-13,136615
2025-04-14,136611
2025-04-15,136675
2025-04-16,136795
2025-04-17,136795
2025-04-18,136745
2025-04-22,136851
2025-04-23,137097
2025-04-24,136730
2025-04-25,136178
2025-04-26,136037
2025-04-27,136019
2025-04-28,135919
2025-04-29,136123
2025-04-30,135906
2025-05-01,134776
2025-05-02,135074
2025-05-03,135283
2025-05-04,135257
2025-05-05,135261
2025-05-06,135435
2025-05-07,135606
2025-05-08,135611
2025-05-09,135886
2025-05-10,136004
2025-05-11,136091
2025-05-12,136077
2025-05-13,136321
2025-05-14,136303
2025-05-15,136250
2025-05-16,136495
2025-05-17,136549
2025-05-18,136359
2025-05-19,136180
2025-05-20,136032
2025-05-21,137031
2025-05-22,137149
2025-05-23,137097
2025-05-24,137250
2025-05-25,137182
2025-05-26,137226
2025-05-27,137922
2025-05-28,137910
2025-05-29,137915
2025-05-30,137050
2025-05-31,137136
2025-06-01,138150
2025-06-02,137125
2025-06-03,137197
2025-06-04,137776
2025-06-05,137784
2025-06-06,137324
2025-06-07,137397
2025-06-08,137371
2025-06-09,135878
2025-06-10,135579
