date,num_rrsig,num_httpsrr
2024-04-01,10749,90169
2024-04-02,10731,89737
2024-04-03,10694,89146
2024-04-04,10691,88856
2024-04-05,10689,88561
2024-04-06,10682,88294
2024-04-07,10603,87277
2024-04-08,10592,87044
2024-04-09,10583,86913
2024-04-10,10563,86710
2024-04-11,10543,86466
2024-04-12,10550,86454
2024-04-13,10617,87180
2024-04-14,10611,86989
2024-04-15,10601,86825
2024-04-16,10601,86825
2024-04-17,10601,86825
2024-04-18,10601,86825
2024-04-19,10601,86825
2024-04-20,10601,86825
2024-04-21,10601,86825
2024-04-22,10636,86709
2024-04-23,10628,86510
2024-04-24,10639,86378
2024-04-25,10649,86401
2024-04-26,10653,86283
2024-04-27,10650,86156
2024-04-28,10653,86173
2024-04-29,10650,86065
2024-04-30,10609,85501
2024-05-01,10575,84952
2024-05-02,10575,84863
2024-05-03,10572,84706
2024-05-04,10537,84254
2024-05-05,10456,83283
2024-05-06,10463,83270
2024-05-07,10457,83279
2024-05-08,10457,83255
2024-05-09,10461,83250
2024-05-10,10465,83266
2024-05-11,10481,83325
2024-05-12,10483,83352
2024-05-13,10473,83286
2024-05-14,10476,83250
2024-05-15,10481,83185
2024-05-16,10480,83091
2024-05-17,10476,82944
2024-05-18,10541,83831
2024-05-19,10581,84244
2024-05-20,10585,84190
2024-05-21,10577,84113
2024-05-22,10616,84752
2024-05-23,10641,85023
2024-05-24,10652,85109
2024-05-25,10649,85106
2024-05-26,10661,85048
2024-05-27,10666,84997
2024-05-28,10662,85135
2024-05-29,10665,85078
2024-05-30,10659,85056
2024-05-31,10670,85113
2024-06-01,10675,85100
2024-06-02,10669,85003
2024-06-03,10672,84977
2024-06-04,10670,85006
2024-06-05,10653,84722
2024-06-06,10621,84107
2024-06-07,10626,84182
2024-06-08,10625,84120
2024-06-09,10550,83223
2024-06-10,10549,83126
2024-06-11,10583,83276
2024-06-12,10586,83259
2024-06-13,10590,83154
2024-06-14,10594,83087
2024-06-15,10599,83070
2024-06-16,10699,84489
2024-06-17,10699,84456
2024-06-18,10705,84474
2024-06-19,10713,84430
2024-06-20,10771,85279
2024-06-21,10782,85375
2024-06-22,10792,85395
2024-06-23,10806,85441
2024-06-24,10815,85419
2024-06-25,10819,85376
2024-06-26,10823,85398
2024-06-27,10805,85364
2024-06-28,10809,85318
2024-06-29,10802,85230
2024-06-30,10802,85183
2024-07-01,10796,85122
2024-07-02,10768,84513
2024-07-03,10752,84228
2024-07-04,10755,84138
2024-07-05,10746,84186
2024-07-06,10701,83438
2024-07-07,10666,82748
2024-07-08,10670,82721
2024-07-09,10686,82842
2024-07-10,10686,82732
2024-07-11,10682,82735
2024-07-12,10701,82771
2024-07-13,10705,82724
2024-07-14,10727,82949
2024-07-15,10800,84099
2024-07-16,10811,84085
2024-07-17,10820,84140
2024-07-18,10833,84128
2024-07-19,10855,84355
2024-07-20,10881,84874
2024-07-21,10880,84899
2024-07-22,10874,84857
2024-07-23,10884,84885
2024-07-24,10894,84927
2024-07-25,10898,84937
2024-07-26,10904,84924
2024-07-27,10927,84964
2024-07-28,10874,84171
2024-07-29,10874,84082
2024-07-30,10870,84079
2024-07-31,10868,84109
2024-08-01,10861,84084
2024-08-02,10878,84212
2024-08-03,10816,83208
2024-08-04,10818,83263
2024-08-05,10819,83277
2024-08-06,10820,83321
2024-08-07,10837,83399
2024-08-08,10844,83410
2024-08-09,10853,83457
2024-08-10,10862,83520
2024-08-11,10866,83574
2024-08-12,10878,83667
2024-08-13,10894,83895
2024-08-14,10892,83891
2024-08-15,10917,83915
2024-08-16,10914,83962
2024-08-17,10931,84007
2024-08-18,10943,84124
2024-08-19,11017,84914
2024-08-20,11077,85606
2024-08-21,11088,85761
2024-08-22,11091,85830
2024-08-23,11128,85910
2024-08-24,11130,86101
2024-08-25,11184,86832
2024-08-26,11187,86917
2024-08-27,11189,86997
2024-08-28,11203,87053
2024-08-29,11214,87161
2024-08-30,11216,87155
2024-08-31,11211,87194
2024-09-01,11188,86595
2024-09-02,11187,86602
2024-09-03,11170,86511
2024-09-04,11028,84595
2024-09-05,11041,84595
2024-09-06,11005,84014
2024-09-07,10977,83599
2024-09-08,10977,83598
2024-09-09,10982,83670
2024-09-10,10988,83775
2024-09-11,10985,83770
2024-09-12,10992,83777
2024-09-13,10995,83880
2024-09-14,11010,83949
2024-09-15,11005,83928
2024-09-16,11041,84534
2024-09-17,11074,85015
2024-09-18,11072,85022
2024-09-19,11075,85037
2024-09-20,11093,85090
2024-09-21,11114,85427
2024-09-22,11134,85890
2024-09-23,11133,85899
2024-09-24,11145,85981
2024-09-25,11150,85976
2024-09-26,11161,85955
2024-09-27,11169,85971
2024-09-28,11175,85958
2024-09-29,11154,85614
2024-09-30,11143,85323
2024-10-01,11133,85319
2024-10-02,11133,85206
2024-10-03,11127,85222
2024-10-04,11099,84641
2024-10-05,11081,84352
2024-10-06,11075,84361
2024-10-07,11082,84362
2024-10-08,11085,84423
2024-10-09,11087,84381
2024-10-10,11088,84402
2024-10-11,11090,84366
2024-10-12,11098,84350
2024-10-13,11102,84318
2024-10-14,11123,84547
2024-10-15,11179,85368
2024-10-16,11168,85337
2024-10-17,11185,85365
2024-10-18,11196,85407
2024-10-19,11195,85426
2024-10-20,11241,86063
2024-10-21,11247,86130
2024-10-22,11253,86132
2024-10-23,11244,86065
2024-10-24,11252,86046
2024-10-25,11252,86060
2024-10-26,11238,85839
2024-10-27,11208,85417
2024-10-28,11205,85337
2024-10-29,11209,85336
2024-10-30,11205,85207
2024-10-31,11194,85176
2024-11-01,11137,84251
2024-11-02,11144,84342
2024-11-03,11148,84345
2024-11-04,11139,84287
2024-11-05,11140,84339
2024-11-06,11142,84167
2024-11-07,11154,84081
2024-11-08,11148,84000
2024-11-09,11155,83974
2024-11-10,11151,83943
2024-11-11,11134,83790
2024-11-12,11153,83783
2024-11-13,11149,83730
2024-11-14,11159,83670
2024-11-15,11160,83631
2024-11-16,11156,83592
2024-11-17,11154,83488
2024-11-18,11150,83318
2024-11-19,11212,83982
2024-11-20,11229,84149
2024-11-21,11230,84094
2024-11-22,11227,84022
2024-11-23,11231,83955
2024-11-24,11218,83908
2024-11-25,11252,84333
2024-11-26,11246,84270
2024-11-27,11246,84219
2024-11-28,11239,84148
2024-11-29,11243,84259
2024-11-30,11239,84200
2024-12-01,11214,83858
2024-12-02,11201,83707
2024-12-03,11216,83705
2024-12-04,11220,83642
2024-12-05,11224,83655
2024-12-06,11178,83027
2024-12-07,11166,82884
2024-12-08,11155,82868
2024-12-09,11155,82832
2024-12-10,11164,82934
2024-12-11,11160,82886
2024-12-12,11172,82928
2024-12-13,11173,82892
2024-12-14,11166,82885
2024-12-15,11161,82847
2024-12-16,11175,82988
2024-12-17,11236,83790
2024-12-18,11260,83812
2024-12-19,11256,83838
2024-12-20,11267,83882
2024-12-21,11273,83902
2024-12-22,11318,84422
2024-12-23,11318,84453
2024-12-24,11318,84403
2024-12-25,11312,84344
2024-12-26,11300,84318
2024-12-27,11299,84260
2024-12-28,11250,83701
2024-12-29,11259,83616
2024-12-30,11252,83556
2024-12-31,11249,83523
2025-01-01,11257,90932
2025-01-02,11241,90689
2025-01-03,11198,90043
2025-01-04,11207,90361
2025-01-05,11214,90236
