date,num_rrsig,num_httpsrr
2024-04-01,17804,99413
2024-04-02,17774,98991
2024-04-03,17706,98349
2024-04-04,17684,98022
2024-04-05,17669,97713
2024-04-06,17652,97429
2024-04-07,17529,96320
2024-04-08,17510,96053
2024-04-09,17502,95925
2024-04-10,17476,95720
2024-04-11,17454,95486
2024-04-12,17471,95480
2024-04-13,17601,96290
2024-04-14,17591,96094
2024-04-15,17582,95919
2024-04-16,17582,95919
2024-04-17,17582,95919
2024-04-18,17582,95919
2024-04-19,17582,95919
2024-04-20,17582,95919
2024-04-21,17582,95919
2024-04-22,17188,93177
2024-04-23,17624,95690
2024-04-24,17623,95555
2024-04-25,17634,95583
2024-04-26,17624,95439
2024-04-27,17613,95303
2024-04-28,17598,95321
2024-04-29,17589,95186
2024-04-30,17524,94612
2024-05-01,17453,94004
2024-05-02,17439,93902
2024-05-03,17438,93745
2024-05-04,17386,93250
2024-05-05,17258,92196
2024-05-06,17284,92219
2024-05-07,17272,92197
2024-05-08,17277,92174
2024-05-09,17265,92155
2024-05-10,17273,92140
2024-05-11,17291,92209
2024-05-12,17296,92245
2024-05-13,17288,92173
2024-05-14,17295,92132
2024-05-15,17300,92075
2024-05-16,17285,91975
2024-05-17,17281,91823
2024-05-18,17397,92777
2024-05-19,17462,93249
2024-05-20,17478,93199
2024-05-21,17480,93149
2024-05-22,17542,93809
2024-05-23,17584,94131
2024-05-24,17595,94127
2024-05-25,17587,94101
2024-05-26,17602,94043
2024-05-27,17609,94013
2024-05-28,17606,94157
2024-05-29,17606,94117
2024-05-30,17611,94117
2024-05-31,17618,94184
2024-06-01,17623,94188
2024-06-02,17618,94096
2024-06-03,17630,94071
2024-06-04,17629,94107
2024-06-05,17609,93823
2024-06-06,17524,93119
2024-06-07,17547,93222
2024-06-08,17559,93174
2024-06-09,17442,92181
2024-06-10,17441,92097
2024-06-11,17479,92264
2024-06-12,17484,92259
2024-06-13,17491,92171
2024-06-14,17508,92134
2024-06-15,17514,92135
2024-06-16,17660,93678
2024-06-17,17669,93664
2024-06-18,17684,93700
2024-06-19,17699,93681
2024-06-20,17789,94638
2024-06-21,17832,94782
2024-06-22,17843,94798
2024-06-23,17860,94869
2024-06-24,17875,94868
2024-06-25,17853,94800
2024-06-26,17848,94803
2024-06-27,17807,94756
2024-06-28,17829,94708
2024-06-29,17815,94620
2024-06-30,17799,94556
2024-07-01,17801,94510
2024-07-02,17711,93823
2024-07-03,17699,93519
2024-07-04,17697,93454
2024-07-05,17686,93503
2024-07-06,17605,92681
2024-07-07,17543,91949
2024-07-08,17566,91948
2024-07-09,17582,92083
2024-07-10,17588,91984
2024-07-11,17592,91993
2024-07-12,17606,92037
2024-07-13,17612,91984
2024-07-14,17653,92250
2024-07-15,17800,93562
2024-07-16,17808,93557
2024-07-17,17819,93641
2024-07-18,17847,93668
